key,designer,year,season_std,url,filename,gt_silhouette,gt_length
0136361,Dries Van Noten,2012,FW,https://assets.vogue.com/photos/55c650e708298d8be2180fdd/00500fullscreen.jpg,0136361_Dries Van Noten - Fall 2012 Ready-to-Wear [Collection].jpg,a_line,maxi
0378504,Balenciaga,2023,SS,https://assets.vogue.com/photos/6339b7e49a7db4e42c1a90dd/00020-balenciaga-spring-2023-ready-to-wear-credit-brand.jpg,0378504_Balenciaga - Spring 2023 Ready-to-Wear [Collection].jpg,straight,trousers
0845247,Gucci,2022,FW,https://assets.vogue.com/photos/621925f9583e407b99593acd/00062-gucci-fall-22-ready-to-wear-milan-credit-gorunway.jpg,0845247_Gucci - Fall 2022 Ready-to-Wear [Collection].jpg,fitted,midi
1103301,Dries Van Noten,2010,FW,https://assets.vogue.com/photos/55c651bd08298d8be2271cf4/00110fullscreen.jpg,1103301_Dries Van Noten - Fall 2010 Ready-to-Wear [Collection].jpg,oversized,midi
0372273,Balenciaga,2020,FW,https://assets.vogue.com/photos/5e5ba0dfb6a4340008296150/_ALE0972.jpg,0372273_Balenciaga - Fall 2020 Ready-to-Wear [Collection].jpg,oversized,trousers
0443521,Dries Van Noten,2009,SS,https://assets.vogue.com/photos/55c6519b08298d8be224aeb4/00440fullscreen.jpg,0443521_Dries Van Noten - Spring 2009 Ready-to-Wear [Collection].jpg,a_line,trousers
0948627,Dries Van Noten,2020,SS,https://assets.vogue.com/photos/5d8b71a4c0e9ea00097f3e06/_ALE0774.jpg,0948627_Dries Van Noten - Spring 2020 Ready-to-Wear [Collection].jpg,oversized,trousers
1080371,Gucci,2017,FW,https://assets.vogue.com/photos/58adaa18f58dd170292d2af8/_GUC0475.jpg,1080371_Gucci - Fall 2017 Ready-to-Wear [Collection].jpg,straight,trousers
1084407,Gucci,2019,FW,https://assets.vogue.com/photos/5c6d73141e848b2d3ad87443/_FIO1098.jpg,1084407_Gucci - Fall 2019 Ready-to-Wear [Collection].jpg,straight,trousers
1226682,Dries Van Noten,2009,SS,https://assets.vogue.com/photos/55c6519b08298d8be224aeaf/00390fullscreen.jpg,1226682_Dries Van Noten - Spring 2009 Ready-to-Wear [Collection].jpg,straight,midi
0975174,Gucci,2014,FW,https://assets.vogue.com/photos/55c6513808298d8be21daa24/GUC_0380.1366x2048.JPG,0975174_Gucci - Fall 2014 Ready-to-Wear [Collection].jpg,a_line,trousers
0332469,Gucci,2022,SS,https://assets.vogue.com/photos/6182189e8ee26f1d58e814b8/Look_002.jpg,0332469_Gucci - Spring 2022 Ready-to-Wear [Collection].jpg,oversized,trousers
0687206,Balenciaga,2013,FW,https://assets.vogue.com/photos/55c6511108298d8be21aeca4/05_ON_0036.1366x2048.JPG,0687206_Balenciaga - Fall 2013 Ready-to-Wear [Collection].jpg,straight,trousers
0579269,Balenciaga,2010,SS,https://assets.vogue.com/photos/55c651ac08298d8be226034d/00320fullscreen.jpg,0579269_Balenciaga - Spring 2010 Ready-to-Wear [Collection].jpg,straight,mini
1211655,Gucci,2012,FW,https://assets.vogue.com/photos/55c650e408298d8be217e570/00330fullscreen.jpg,1211655_Gucci - Fall 2012 Ready-to-Wear [Collection].jpg,a_line,maxi
0128558,Dries Van Noten,2009,FW,https://assets.vogue.com/photos/55c651a308298d8be225500e/00290fullscreen.jpg,0128558_Dries Van Noten - Fall 2009 Ready-to-Wear [Collection].jpg,a_line,trousers
1157154,Balenciaga,2016,SS,https://assets.vogue.com/photos/57f0de258a0d182b2eeeab1d/_MON0871.jpg,1157154_Balenciaga - Spring 2016 Ready-to-Wear [Collection].jpg,a_line,trousers
1140613,Gucci,2009,FW,https://assets.vogue.com/photos/55c651a108298d8be2252ec6/00170fullscreen.jpg,1140613_Gucci - Fall 2009 Ready-to-Wear [Collection].jpg,fitted,mini
0070085,Balenciaga,2018,FW,https://assets.vogue.com/photos/5a9bdef1b76a43754e2229fe/_MON0834.jpg,0070085_Balenciaga - Fall 2018 Ready-to-Wear [Collection].jpg,a_line,midi
0040237,Gucci,2018,FW,https://assets.vogue.com/photos/5a8d7eeac95be86dd46fcff2/_GUC0121.jpg,0040237_Gucci - Fall 2018 Ready-to-Wear [Collection].jpg,oversized,trousers
0590156,Gucci,2010,FW,https://assets.vogue.com/photos/55c651bd08298d8be2270e68/00100fullscreen.jpg,0590156_Gucci - Fall 2010 Ready-to-Wear [Collection].jpg,straight,trousers
0461793,Dries Van Noten,2011,SS,https://assets.vogue.com/photos/55c6512a08298d8be21cb059/00100fullscreen.jpg,0461793_Dries Van Noten - Spring 2011 Ready-to-Wear [Collection].jpg,a_line,trousers
0591344,Dries Van Noten,2010,FW,https://assets.vogue.com/photos/55c651bd08298d8be2271d1c/00510fullscreen.jpg,0591344_Dries Van Noten - Fall 2010 Ready-to-Wear [Collection].jpg,a_line,midi
0991351,Gucci,2013,FW,https://assets.vogue.com/photos/55c6510f08298d8be21ac557/_GVC0146.1366x2048.JPG,0991351_Gucci - Fall 2013 Ready-to-Wear [Collection].jpg,a_line,midi
0674056,Dries Van Noten,2012,FW,https://assets.vogue.com/photos/55c650e708298d8be2180fd7/00440fullscreen.jpg,0674056_Dries Van Noten - Fall 2012 Ready-to-Wear [Collection].jpg,a_line,trousers
0526079,Gucci,2014,FW,https://assets.vogue.com/photos/55c6513808298d8be21daa33/GUC_0722.1366x2048.JPG,0526079_Gucci - Fall 2014 Ready-to-Wear [Collection].jpg,a_line,mini
1244321,Balenciaga,2013,SS,https://assets.vogue.com/photos/55c650f908298d8be2194ea2/_ON_1136.1366x2048.JPG,1244321_Balenciaga - Spring 2013 Ready-to-Wear [Collection].jpg,a_line,maxi
1112125,Dries Van Noten,2012,FW,https://assets.vogue.com/photos/55c650e708298d8be2180fc3/00240fullscreen.jpg,1112125_Dries Van Noten - Fall 2012 Ready-to-Wear [Collection].jpg,fitted,midi
0525464,Gucci,2019,SS,https://assets.vogue.com/photos/5ba94ca202a4212f901adaa8/034.jpg,0525464_Gucci - Spring 2019 Ready-to-Wear [Collection].jpg,straight,trousers
0886585,Balenciaga,2017,FW,https://assets.vogue.com/photos/58bbf8a2f9d6c10e112203eb/_MON0749.jpg,0886585_Balenciaga - Fall 2017 Ready-to-Wear [Collection].jpg,oversized,midi
0144622,Gucci,2016,FW,https://assets.vogue.com/photos/56cdc7099f4b2dce7480412c/_GUC1157.jpg,0144622_Gucci - Fall 2016 Ready-to-Wear [Collection].jpg,a_line,mini
0719326,Balenciaga,2019,SS,https://assets.vogue.com/photos/5bb0b31d3954262db33a0453/_MON1521.jpg,0719326_Balenciaga - Spring 2019 Ready-to-Wear [Collection].jpg,straight,trousers
0595403,Balenciaga,2020,SS,https://assets.vogue.com/photos/5d90b86aef23d100092ab278/_FIO1280.jpg,0595403_Balenciaga - Spring 2020 Ready-to-Wear [Collection].jpg,a_line,maxi
0585699,Dries Van Noten,2016,FW,https://assets.vogue.com/photos/56d6ff620715a2423ac3b7dc/_ARC1945.jpg,0585699_Dries Van Noten - Fall 2016 Ready-to-Wear [Collection].jpg,a_line,maxi
0955955,Balenciaga,2017,SS,https://assets.vogue.com/photos/59d0bdf75ab3fb3706c9e853/_MON0191.jpg,0955955_Balenciaga - Spring 2017 Ready-to-Wear [Collection].jpg,oversized,midi
0878055,Gucci,2019,FW,https://assets.vogue.com/photos/5c6d70a6dc8b682dcbe40219/_FIO0998.jpg,0878055_Gucci - Fall 2019 Ready-to-Wear [Collection].jpg,straight,trousers
0752619,Dries Van Noten,2023,FW,https://assets.vogue.com/photos/6400acd800e8c15bd736a82c/00045-dries-van-noten-fall-2023-ready-to-wear-credit-gorunway.jpg,0752619_Dries Van Noten - Fall 2023 Ready-to-Wear [Collection].jpg,fitted,maxi
0086540,Balenciaga,2023,SS,https://assets.vogue.com/photos/6339b8dbcf33f7b49b6b47a0/00061-balenciaga-spring-2023-ready-to-wear-credit-brand.jpg,0086540_Balenciaga - Spring 2023 Ready-to-Wear [Collection].jpg,fitted,trousers
0889634,Gucci,2011,FW,https://assets.vogue.com/photos/55c651b308298d8be2268546/00460fullscreen.jpg,0889634_Gucci - Fall 2011 Ready-to-Wear [Collection].jpg,oversized,trousers
0034709,Gucci,2022,SS,https://assets.vogue.com/photos/618218ac1fc9befdc4c49e26/Look_027.jpg,0034709_Gucci - Spring 2022 Ready-to-Wear [Collection].jpg,fitted,mini
0866099,Dries Van Noten,2016,SS,https://assets.vogue.com/photos/560be94e242bef5e21fbc269/_DRI0777.jpg,0866099_Dries Van Noten - Spring 2016 Ready-to-Wear [Collection].jpg,fitted,trousers
